Id;Function;threads;gpus;P;Q;mtxfmt;nb;m;n;lda;seedA;bump;tsub;time;gflops;scheduler
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.508098e+01;5.674164e+01;dmda
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.672833e+01;5.419665e+01;dmdas
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;4.930967e+01;4.036840e+01;random
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.508455e+01;5.673587e+01;dmda
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.175768e+01;6.267939e+01;lws
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.216904e+01;6.187788e+01;lws
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.629993e+01;3.535621e+01;random
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.087777e+01;6.446554e+01;lws
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.280738e+01;6.067392e+01;lws
0;dgetrf_nopiv;23;0;1;6;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.480372e+01;5.719367e+01;dmdas
0;dgetrf_nopiv;23;0;3;2;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.136103e+01;6.347216e+01;lws
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.413509e+01;3.677010e+01;random
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;5.361683e+01;3.712551e+01;random
0;dgetrf_nopiv;23;0;6;1;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.505698e+01;5.678049e+01;dmdas
0;dgetrf_nopiv;23;0;2;3;0;360;14400;14400;14400;1804289383;1.440000e+04;0.000000e+00;3.638180e+01;5.471286e+01;dmda
