size,block_size,scheduler,pq,Blocks,exp,Order
14400,360,lws,2x3,.5,openmpi,openmpi_2x3_lws_80
14400,360,random,1x6,.6,openmpi,openmpi_1x6_random_81
14400,360,lws,6x1,.6,openmpi,openmpi_6x1_lws_82
14400,360,dmda,3x2,.6,openmpi,openmpi_3x2_dmda_83
14400,360,dmdas,1x6,.6,openmpi,openmpi_1x6_dmdas_84
14400,360,lws,3x2,.6,openmpi,openmpi_3x2_lws_85
14400,360,dmda,6x1,.6,openmpi,openmpi_6x1_dmda_86
14400,360,dmdas,6x1,.6,openmpi,openmpi_6x1_dmdas_87
14400,360,dmdas,2x3,.6,openmpi,openmpi_2x3_dmdas_88
14400,360,dmda,2x3,.6,openmpi,openmpi_2x3_dmda_89
14400,360,random,3x2,.6,openmpi,openmpi_3x2_random_90
14400,360,random,2x3,.6,openmpi,openmpi_2x3_random_91
14400,360,lws,1x6,.6,openmpi,openmpi_1x6_lws_92
14400,360,dmda,1x6,.6,openmpi,openmpi_1x6_dmda_93
14400,360,dmdas,3x2,.6,openmpi,openmpi_3x2_dmdas_94
14400,360,lws,2x3,.6,openmpi,openmpi_2x3_lws_95
14400,360,random,6x1,.6,openmpi,openmpi_6x1_random_96
14400,360,dmda,1x6,.7,openmpi,openmpi_1x6_dmda_97
14400,360,dmda,6x1,.7,openmpi,openmpi_6x1_dmda_98
14400,360,dmda,3x2,.7,openmpi,openmpi_3x2_dmda_99
14400,360,dmdas,2x3,.7,openmpi,openmpi_2x3_dmdas_100
14400,360,random,1x6,.7,openmpi,openmpi_1x6_random_101
14400,360,dmdas,1x6,.7,openmpi,openmpi_1x6_dmdas_102
14400,360,dmda,2x3,.7,openmpi,openmpi_2x3_dmda_103
14400,360,lws,1x6,.7,openmpi,openmpi_1x6_lws_104
14400,360,lws,3x2,.7,openmpi,openmpi_3x2_lws_105
14400,360,random,6x1,.7,openmpi,openmpi_6x1_random_106
14400,360,lws,6x1,.7,openmpi,openmpi_6x1_lws_107
14400,360,random,2x3,.7,openmpi,openmpi_2x3_random_108
14400,360,dmdas,6x1,.7,openmpi,openmpi_6x1_dmdas_109
14400,360,dmdas,3x2,.7,openmpi,openmpi_3x2_dmdas_110
14400,360,lws,2x3,.7,openmpi,openmpi_2x3_lws_111
14400,360,random,3x2,.7,openmpi,openmpi_3x2_random_112
14400,360,random,1x6,.8,openmpi,openmpi_1x6_random_113
14400,360,lws,6x1,.8,openmpi,openmpi_6x1_lws_114
14400,360,lws,3x2,.8,openmpi,openmpi_3x2_lws_115
14400,360,dmda,2x3,.8,openmpi,openmpi_2x3_dmda_116
14400,360,dmdas,1x6,.8,openmpi,openmpi_1x6_dmdas_117
14400,360,dmda,6x1,.8,openmpi,openmpi_6x1_dmda_118
14400,360,random,6x1,.8,openmpi,openmpi_6x1_random_119
14400,360,lws,2x3,.8,openmpi,openmpi_2x3_lws_120
14400,360,random,3x2,.8,openmpi,openmpi_3x2_random_121
14400,360,lws,1x6,.8,openmpi,openmpi_1x6_lws_122
14400,360,dmdas,6x1,.8,openmpi,openmpi_6x1_dmdas_123
14400,360,dmdas,3x2,.8,openmpi,openmpi_3x2_dmdas_124
14400,360,dmda,1x6,.8,openmpi,openmpi_1x6_dmda_125
14400,360,random,2x3,.8,openmpi,openmpi_2x3_random_126
14400,360,dmdas,2x3,.8,openmpi,openmpi_2x3_dmdas_127
14400,360,dmda,3x2,.8,openmpi,openmpi_3x2_dmda_128
14400,360,dmdas,1x6,.9,openmpi,openmpi_1x6_dmdas_129
14400,360,lws,2x3,.9,openmpi,openmpi_2x3_lws_130
14400,360,lws,6x1,.9,openmpi,openmpi_6x1_lws_131
14400,360,random,2x3,.9,openmpi,openmpi_2x3_random_132
14400,360,dmdas,6x1,.9,openmpi,openmpi_6x1_dmdas_133
14400,360,random,1x6,.9,openmpi,openmpi_1x6_random_134
14400,360,dmda,2x3,.9,openmpi,openmpi_2x3_dmda_135
14400,360,dmdas,3x2,.9,openmpi,openmpi_3x2_dmdas_136
14400,360,lws,3x2,.9,openmpi,openmpi_3x2_lws_137
14400,360,random,6x1,.9,openmpi,openmpi_6x1_random_138
